title,author,ISBN,ISBN13,rating,avg_rating,publisher,binding,number_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshleves_with_position,exclusive_shelf,my_review,open_library_url_info_ISBN,open_library_url_info_ISBN13,notes,recommendation_from
La discipline sans drame,Tina Payne Bryson / Daniel J. Siegel,,,0.0,,,,,,,,2021/05/18,,,to-read,,,https://www.placedeslibraires.fr/livre/9782501135412-la-discipline-sans-drame-calmer-les-crises-et-aider-votre-enfant-a-grandir-tina-payne-bryson-daniel-j-siegel/,,
T.A.Z. Zone autonome temporaire,Hakim Bey,,,0.0,,,,,,,,2021/05/04,,,to-read,,,https://www.leslibraires.fr/livre/13185869-t-a-z-zone-autonome-temporaire-hakim-bey-l-eclat,,
Bhagavad-Gita,,,,0.0,,,,,,,,2021/01/21,,,to-read,,,https://fr.wikipedia.org/wiki/Bhagavad-Gita,,
Les ritals,François Cavanna,,,0.0,,,,,,,2021/04/23,2020/09/24,,,to-read,,,,,
Less is More,Jason Hickel,,,5.0,,,,,,,2021/03/25,2020/09/24,,,to-read,,,,,
Doughnut Economics,Kate Raworth,,,5.0,,,,,,,2021/03/25,2020/09/24,,,to-read,,,,,
Design for the Real World: Human Ecology and Social Change,Victor Papanek,,,0.0,,,,,,,,2020/12/14,,,to-read,,,https://www.goodreads.com/book/show/190560.Design_for_the_Real_World,,
Le Bug Humain,Sébastien Bohler,,,0.0,,,,,,,,2020/12/12,,,to-read,,,https://www.franceculture.fr/oeuvre/le-bug-humain,,
Agir ici et maintenant,Floréal M. Romero,,,0.0,,,,,2019.0,,,2020/11/17,,,to-read,,,https://www.editionsducommun.org/products/agir-ici-et-maintenant-floreal-m-romero,,
The Rock Warrior’s Way,Arno Ilgner,,,0.0,,,,,2020.0,,,2020/11/02,,,to-read,,,https://warriorsway.com/the-rock-warriors-way-mental-training-for-climbers-2/,,
Une monnaie écologique,Alain Grandjean & Nicolas Dufrêne,,,0.0,,,,,2020.0,,,2020/09/24,,,to-read,,,https://www.odilejacob.fr/catalogue/sciences/sciences-de-la-terre/une-monnaie-ecologique_9782738152220.php,,
The Age of Sustainability,Mark Swilling,,,0.0,,,,,2020.0,,,2020/09/24,,,to-read,,,https://www.routledge.com/The-Age-of-Sustainability-Just-Transitions-in-a-Complex-World/Swilling/p/book/9780367178161,,
Year of the Monkey,Patti Smith,,,0.0,,,,,2020.0,,,2020/09/24,,,to-read,,,https://www.leslibraires.ca/livres/year-of-the-monkey-patti-smith-9780735279308.html,,
Airvore ou la face obscure des transports,Laurent Castaignède,,,0.0,,,,,2020.0,,,2020/07/13,,,to-read,,,https://ecosociete.org/livres/airvore,,
Effondrement,Jared Diamond,,,0.0,,,,,2005.0,,,2020/07/20,,,to-read,,,https://ecosociete.org/livres/airvore,,
L’Art de durer. Le Fascisme au Portugal ,Fernando Rosas,,,0.0,,,,,2020.0,,,2020/06/30,not-finished,not-finished,,,,https://editionssociales.fr/index.php/2020/04/16/fernando-rosas-lart-de-durer-le-fascisme-au-portugal-2/,,
Rue des Pâquerettes,Mehdi Charef,,,0.0,,,,,2020.0,,,2020/06/30,,,to-read,,,https://www.horsdatteinte.org/produit/rue-des-paquerettes-2/,,
Notre corps nous mêmes,Collectif NCNM,,,0.0,,,,,2020.0,,,2020/06/30,,,to-read,,,https://www.horsdatteinte.org/produit/notre-corps-nous-memes/,,
L'economie des inegalites,Thomas Piketty,,,0.0,,,,,2020.0,,,2020/06/17,,,to-read,,,https://www.cairn.info/l-economie-des-inegalites--9782707185679.htm#,,
Solide,Romain Desgranges,,,4.0,,,,,2020.0,,2020/05/20,2020/05/20,,,read,,,,https://www.leslibraires.fr/livre/16828089-solide--romain-desgranges-guerin,
La permaculture dans un petit jardin,Kurt Forster,,,0.0,,,,,2019.0,2019.0,2020/05/29,2020/05/29,to-read,,to-read,,,https://librairie-permaculturelle.fr/potager/38-livre-la-permaculture-dans-un-petit-jardin-kurt-forster.html,,
Ecotopia,Ernest Callenbach,,,0.0,,,,,,,2020/05/29,2020/05/29,to-read,,to-read,,,https://www.babelio.com/livres/Callenbach-cotopia/1079051,,
L'Education vraiment positive,Béatrice Kammerer,,9782035959492.0,3.0,3.8,Larousse,Paperback,224,2019.0,,2020/03/12,2019/12/04,,,read,,,,,
Déclic,Maxime Guedj & Anne-Sophie Jacques,,,5.0,,Les arènes,Paperback,,,,2020/03/10,,,,read,,,,,
Le guide du mauvais père,Guy Delisle,2413002804,9782413002802.0,5.0,4.11,Editions Delcourt,Paperback,192,2018.0,2018.0,2020/03/09,2020/03/09,,,read,,,,,
Algues vertes,Inès Léraud,241301036X,9782413010364.0,5.0,4.63,DELCOURT,Paperback,159,2019.0,2019.0,2020/02/11,2020/02/13,,,read,,,,,
Cassandra Darke,Posy Simmonds,224089102,9780224089104.0,3.0,4.01,Jonathan Cape,Paperback,136,2018.0,2018.0,2020/01/22,2020/01/23,,,read,,,,,
In Waves,A.J. Dungo,1910620300,9781910620304.0,5.0,4.4,Nobrow,Hardcover,376,2019.0,2019.0,2019/12/31,2019/12/30,,,read,,,,,
Blankets,Craig Thompson,1891830430,9781891830433.0,5.0,4.05,Top Shelf Productions,Paperback,592,2003.0,2003.0,2019/10/29,2019/10/24,,,read,,https://openlibrary.org/books/OL3324704M/Blankets,https://openlibrary.org/books/OL3324704M/Blankets,,
In utero,Julien Blanc-Gras,2846269971,9782846269971.0,5.0,3.94,Au Diable Vauvert,Hardcover,192,2015.0,2015.0,2019/10/01,2019/10/02,,,read,,https://openlibrary.org/books/OL27510794M/In_utero,https://openlibrary.org/books/OL27510794M/In_utero,,
Errance,Raymond Depardon,,,4.0,4.0,,,,,,2019/07/18,2019/07/18,,,read,,,,,
Hands-On Machine Learning with Scikit-Learn 2nd Edition,Aurélien Géron,,,4.0,4.0,,,,,,2019,2019,,,read,,,https://www.oreilly.com/library/view/hands-on-machine-learning/9781492032632/,,
Tu seras un homme -féministe - mon fils !,Aurélia Blanc,2501134052,9782501134057.0,5.0,4.25,Marabout,Paperback,224,2018.0,,2019/07/08,2019/03/08,,,read,,,,,
Ces jours qui disparaissent,Timothé Le Boucher,2344013326,9782344013328.0,3.0,4.37,Glénat,Hardcover,192,2017.0,2017.0,2019/05/11,2019/05/11,,,read,,,,,
La Parenthèse,Élodie Durand,2756017035,9782756017037.0,4.0,4.11,Delcourt,Paperback,221,2010.0,2010.0,2019/03/12,2019/03/10,,,read,,https://openlibrary.org/books/OL25801787M/La_parenth\u00e8se,https://openlibrary.org/books/OL25801787M/La_parenth\u00e8se,,
Les Reflets changeants,Aude Mermilliod,,,3.0,3.58,Le Lombard,Kindle Edition,200,2017.0,,2019/03/09,2019/03/09,,,read,,,,,
The Property,Rutu Modan,1770461159,9781770461154.0,3.0,3.93,Drawn and Quarterly,Hardcover,222,2013.0,2013.0,2019/03/04,2019/03/04,,,read,,https://openlibrary.org/books/OL27146403M/The_property,https://openlibrary.org/books/OL27146403M/The_property,,
Three Shadows,Cyril Pedrosa,159643239X,9781596432390.0,3.0,4.05,First Second,Paperback,268,2008.0,2007.0,2019/02/25,2019/02/24,,,read,,https://openlibrary.org/books/OL12442025M/Three_Shadows,https://openlibrary.org/books/OL12442025M/Three_Shadows,,
Punk Rock et mobile homes (Hors collection),Derf Backderf,,,5.0,4.09,Cà et là,Kindle Edition,154,2014.0,2008.0,2019/01/31,2019/02/02,,,read,,,,,
Comment tout peut s'effondrer,Pablo Servigne,,,5.0,4.23,Le Seuil,Kindle Edition,304,2015.0,2015.0,2019/01/23,2018/11/29,,,read,,,,https://www.placedeslibraires.fr/livre/9782757868201-comment-tout-peut-s-effondrer-petit-manuel-de-collapsologie-a-l-usage-des-generations-presentes-pablo-servigne-raphael-stevens/,
Vingt-trois prostituées,Chester Brown,,9782360810420.0,5.0,3.63,Editions Cornélius,,280,2012.0,2011.0,2019/01/19,2019/01/19,,,read,,,,,
